icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
abfc71,SWA44   ,United States,1635884356,1635884356,-96.754,32.9623,12192,False,228.75,183.09,0,,12527.28,2304,False,0,1635884357
adda24,AAL2066 ,United States,1635884356,1635884356,-97.0751,32.5429,2042.16,False,115.82,92.04,0,,2133.6,6017,False,0,1635884357
a6aef6,N53KA   ,United States,1635884060,1635884060,-97.3581,32.8041,182.88,False,58.87,350.95,-2.93,,236.22,,False,0,1635884357
a95dfc,N702WM  ,United States,1635884356,1635884357,-96.3426,33.8831,8534.4,False,128.06,315.98,0.33,,8862.06,,False,0,1635884357
a2ccdc,N28NP   ,United States,1635884356,1635884356,-97.1293,32.4011,3002.28,False,139.16,282.6,0,,3147.06,5745,False,0,1635884357
ad3d1f,ASH5995 ,United States,1635884356,1635884356,-96.1848,32.1818,5410.2,False,171.29,308.66,-10.08,,5608.32,5471,False,0,1635884357
ab4af1,AAL1362 ,United States,1635884355,1635884356,-97.1607,32.6707,906.78,False,121.41,179.51,-7.8,,982.98,1167,False,0,1635884357
ad3d4e,AAL2854 ,United States,1635884356,1635884356,-96.0856,32.977,6682.74,False,218.0,68.4,10.08,,6903.72,2314,False,0,1635884357
a7c509,,United States,1635884355,1635884355,-97.2074,32.593,182.88,False,6.86,192.99,3.25,,236.22,,False,0,1635884357
a88e32,N650RA  ,United States,1635884356,1635884356,-96.726,33.1468,1127.76,False,123.1,192.06,-0.33,,1188.72,5750,False,0,1635884357
a1b573,SWA163  ,United States,1635884356,1635884356,-96.3976,32.9036,4244.34,False,198.45,96.85,15.28,,4389.12,,False,0,1635884357
ac7e8e,ASH5846 ,United States,1635884353,1635884356,-97.6186,32.3921,3116.58,False,141.86,55.04,-5.53,,3238.5,,False,0,1635884357
a35759,N314TC  ,United States,1635884186,1635884208,-96.8259,32.9442,228.6,False,59.73,339.85,-1.63,,289.56,,False,0,1635884357
a0b6ea,SKW5583 ,United States,1635884356,1635884356,-96.5318,33.2477,4922.52,False,174.41,227.51,-6.83,,5113.02,3160,False,0,1635884357
abc504,SWA3617 ,United States,1635884356,1635884356,-96.8263,32.9622,1775.46,False,148.3,84.63,7.15,,1851.66,6256,False,0,1635884357
acf841,ENY4176 ,United States,1635884356,1635884356,-97.0558,32.6844,830.58,False,98.26,0.3,-0.33,,899.16,,False,0,1635884357
a2e57e,ENY4369 ,United States,1635884356,1635884356,-96.7206,33.1071,4069.08,False,157.53,228.97,-4.88,,4229.1,1646,False,0,1635884357
adfe24,N985KM  ,United States,1635884356,1635884356,-97.0389,32.7107,4838.7,False,172.2,183.77,16.91,,5021.58,3436,False,0,1635884357
ac2032,N8800E  ,United States,1635884356,1635884356,-96.6669,33.2059,1120.14,False,133.92,195.37,0,,1188.72,2110,False,0,1635884357
acdcec,ASH5894 ,United States,1635884356,1635884356,-96.8291,32.5016,1569.72,False,129.49,274.33,-7.8,,1638.3,,False,0,1635884357
ad5398,AAL1868 ,United States,1635884356,1635884356,-96.5853,33.6595,6507.48,False,224.3,37.26,10.08,,6720.84,3677,False,0,1635884357
aaee3b,AAL1177 ,United States,1635884356,1635884356,-96.9342,32.5309,1447.8,False,110.32,222.54,-0.65,,1524.0,7030,False,0,1635884357
adfebc,PAT398  ,United States,1635884355,1635884356,-96.7116,33.4504,2346.96,False,122.44,269.76,0,,2446.02,6037,False,0,1635884357
aaffaa,AAL2407 ,United States,1635884356,1635884356,-96.4457,32.384,3467.1,False,143.01,309.01,-6.83,,3611.88,7172,False,0,1635884357
a40027,AAL2114 ,United States,1635884354,1635884356,-97.8138,32.3755,3329.94,False,180.29,87.06,-7.48,,3467.1,,False,0,1635884357
ac81d2,AAL2244 ,United States,1635884356,1635884356,-96.5606,32.9647,3863.34,False,165.48,109.62,1.3,,4008.12,2303,False,0,1635884357
a10e29,UAL2322 ,United States,1635884356,1635884356,-96.7752,33.0642,2956.56,False,176.18,100.26,0,,3078.48,2361,False,0,1635884357
ac6e8c,N90TR   ,United States,1635884357,1635884357,-97.2716,32.8441,1051.56,False,94.3,170.9,-5.2,,1097.28,,False,0,1635884357
ade543,AAL2354 ,United States,1635884356,1635884356,-97.2313,32.5141,1341.12,False,127.98,61.68,-3.25,,1417.32,,False,0,1635884357
aa35e1,AAL2624 ,United States,1635884353,1635884355,-97.01,32.866,160.02,False,63.28,0.0,-2.6,,220.98,6623,False,0,1635884357
a262d5,CTF253  ,United States,1635884356,1635884356,-96.0553,32.1102,3840.48,False,129.53,332.82,-8.13,,3992.88,6340,False,0,1635884357
a2c1b6,ENY3660 ,United States,1635884356,1635884356,-97.0554,32.7792,693.42,False,89.0,0.33,-4.55,,754.38,0514,False,0,1635884357
ab1839,AAL9720 ,United States,1635884084,1635884084,-97.0549,32.8706,152.4,False,71.51,0.41,-4.23,,228.6,2777,False,0,1635884357
abf17f,AAL2466 ,United States,1635884356,1635884356,-97.0643,33.6006,6370.32,False,198.0,5.67,11.7,,6583.68,3630,False,0,1635884357
a4529d,N378MG  ,United States,1635884356,1635884356,-96.4283,32.9526,7383.78,False,196.52,124.98,7.8,,7627.62,6257,False,0,1635884357
ab5fc9,AAL60   ,United States,1635884193,1635884203,-97.0548,32.8705,152.4,False,74.08,0.0,-3.58,,220.98,1441,False,0,1635884357
