icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
ad90a3,AAL2297 ,United States,1635972442,1635972443,-97.0105,32.7723,708.66,False,87.46,0,-4.88,,777.24,0773,False,0,1635972444
a7b05e,N595E   ,United States,1635972444,1635972444,-96.381,32.4477,2461.26,False,141.14,314.7,-9.75,,2545.08,,False,0,1635972444
a21026,N232CF  ,United States,1635972413,1635972440,-97.8405,33.6016,4404.36,False,176.72,115.52,-6.5,,4518.66,,False,0,1635972444
a71337,JIA5126 ,United States,1635972442,1635972443,-96.3425,33.3589,5280.66,False,179.93,244.24,-2.28,,5402.58,0715,False,0,1635972444
a4634b,LXJ382  ,United States,1635972443,1635972443,-96.9285,33.4507,5196.84,False,192.08,171.22,15.28,,5326.38,,False,0,1635972444
a3ee0b,UPS2954 ,United States,1635972443,1635972444,-97.544,32.9606,5699.76,False,199.64,245.81,14.31,,5829.3,0514,False,0,1635972444
a582b7,XSR454  ,United States,1635972443,1635972443,-97.0123,32.6028,1440.18,False,99.77,354.38,0.33,,1493.52,7076,False,0,1635972444
ad3098,SWA923  ,United States,1635972223,1635972223,-96.8261,32.8308,160.02,False,72.41,316.44,-3.25,,243.84,,False,0,1635972444
a2f6b3,ENY4248 ,United States,1635972442,1635972443,-96.8921,32.9821,10363.2,False,180.17,226.97,0.0,,10568.94,1144,False,0,1635972444
a17527,AAL1129 ,United States,1635972139,1635972141,-97.01,32.8648,160.02,False,70.99,0,-4.23,,228.6,5633,False,0,1635972444
ab7509,N8372R  ,United States,1635972422,1635972422,-97.3638,32.8095,91.44,False,23.51,10.08,-2.93,,259.08,,False,0,1635972444
a00711,N1000E  ,United States,1635972394,1635972399,-96.8239,32.8288,175.26,False,58.97,317.12,-2.6,,243.84,5750,True,0,1635972444
acf841,ENY4205 ,United States,1635972443,1635972443,-97.6013,32.4015,2720.34,False,154.65,46.48,-5.85,,2819.4,,False,0,1635972444
ace3be,N93EK   ,United States,1635972443,1635972443,-96.2559,32.5562,2834.64,False,134.32,275.27,-9.75,,2903.22,,False,0,1635972444
aa9bb8,AAL1710 ,United States,1635972327,1635972328,-97.01,32.8658,152.4,False,67.4,0.87,-3.9,,220.98,2641,False,0,1635972444
abbedb,AAL1213 ,United States,1635972442,1635972443,-97.0289,32.9485,647.7,False,108.65,2.44,5.53,,701.04,3463,False,0,1635972444
a23494,JSX284  ,United States,1635972443,1635972443,-97.178,32.7445,3886.2,False,160.95,260.99,12.03,,3985.26,3410,False,0,1635972444
ac20c4,SWA336  ,United States,1635972443,1635972444,-96.674,32.7218,1013.46,False,94.74,280.64,-4.88,,1066.8,2412,False,0,1635972444
a6fd40,N55BW   ,United States,1635972443,1635972443,-97.1259,32.3931,1592.58,False,135.41,73.22,-7.8,,1630.68,,False,0,1635972444
a0306c,FDX979  ,United States,1635972443,1635972444,-97.0481,33.8237,10370.82,False,203.4,258.18,0.0,,10553.7,1064,False,0,1635972444
a95d8e,,United States,1635972440,1635972442,-97.8916,32.5493,1066.8,False,74.06,327.19,-0.98,,1127.76,,False,0,1635972444
aa6a02,N770LA  ,United States,1635972341,1635972344,-96.8272,32.9473,213.36,False,56.0,339.57,-3.25,,289.56,1162,False,0,1635972444
acc59d,ENY3723 ,United States,1635972443,1635972443,-97.2692,32.6505,1432.56,False,100.53,216.05,0.33,,1478.28,,False,0,1635972444
a082d2,N132CA  ,United States,1635972443,1635972443,-96.484,32.7232,838.2,False,55.57,181.06,0.33,,868.68,,False,0,1635972444
ac6dbd,N90KJ   ,United States,1635972442,1635972443,-97.7809,33.1062,6004.56,False,82.85,290.35,8.45,,6164.58,,False,0,1635972444
a27569,N258CA  ,United States,1635972442,1635972443,-96.4913,32.8861,822.96,False,55.08,177.86,-2.6,,853.44,,False,0,1635972444
a1f432,N225GH  ,United States,1635972417,1635972418,-97.1474,32.7928,152.4,False,26.05,9.09,-8.45,,228.6,,False,0,1635972444
a0cd44,N1505P  ,United States,1635972443,1635972443,-97.4569,33.4462,3307.08,False,160.05,119.04,-4.88,,3406.14,,False,0,1635972444
a7a1b1,LXJ591  ,United States,1635972443,1635972443,-97.3,32.3479,2522.22,False,149.06,72.94,-8.45,,2590.8,,False,0,1635972444
