icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
a52bd9,N432PH  ,United States,1640052678,1640052686,-96.7324,32.5772,365.76,False,36.01,0,-3.25,,419.1,,False,0,1640052696
aaef60,AAL2804 ,United States,1640052696,1640052696,-95.6924,34.927,11269.98,False,238.35,43.51,-0.33,,11452.86,2363,False,0,1640052696
aa56b8,UAL473  ,United States,1640052696,1640052696,-99.3097,31.4081,8610.6,False,239.6,156.46,-5.2,,8808.72,3757,False,0,1640052696
a798b9,LBQ611  ,United States,1640052693,1640052695,-96.8423,31.7814,5654.04,False,125.63,177.65,5.2,,5760.72,,False,0,1640052696
a94b4b,UAL2132 ,United States,1640052695,1640052695,-96.2975,31.1695,8572.5,False,262.55,152.33,-13.66,,8717.28,6365,False,0,1640052696
a05776,AAL2501 ,United States,1640052696,1640052696,-97.1344,32.7666,1706.88,False,130.52,261.61,13.98,,1744.98,3465,False,0,1640052696
c03517,WJA1535 ,Canada,1640052695,1640052695,-98.0709,33.892,10972.8,False,216.24,320.21,-0.33,,11170.92,2743,False,0,1640052696
a58ded,UPS783  ,United States,1640052696,1640052696,-98.006,30.808,9296.4,False,232.96,18.68,14.63,,9456.42,2506,False,0,1640052696
accd13,AAL1273 ,United States,1640052695,1640052695,-99.0428,33.3883,10256.52,False,220.41,296.92,5.85,,10424.16,,False,0,1640052696
a70aa1,ASA1332 ,United States,1640052696,1640052696,-99.4739,31.3829,10652.76,False,260.43,103.13,0.0,,10896.6,1345,False,0,1640052696
ac712d,SWA5474 ,United States,1640052696,1640052696,-96.1645,32.6576,10363.2,False,233.48,214.95,0.0,,10515.6,6511,False,0,1640052696
a59608,MRA655  ,United States,1640052695,1640052696,-97.0151,32.9663,1737.36,False,83.3,287.99,0.0,,1805.94,5124,False,0,1640052696
a10308,N1641C  ,United States,1640052695,1640052696,-97.4182,31.7404,2057.4,False,46.12,321.34,0.0,,2095.5,,False,0,1640052696
a426a5,DAL1191 ,United States,1640052696,1640052696,-95.0334,33.2986,10355.58,False,230.32,265,0.0,,10507.98,7302,False,0,1640052696
ad3d1f,ASH5783 ,United States,1640052696,1640052696,-97.0766,34.1696,8534.4,False,215.22,2.33,2.93,,8679.18,3605,False,0,1640052696
acce96,N924S   ,United States,1640052695,1640052696,-96.798,32.7353,2827.02,False,159.41,186.3,13.33,,2849.88,,False,0,1640052696
acc267,ASH5810 ,United States,1640052695,1640052695,-97.2441,33.4976,7322.82,False,186.4,4.91,9.1,,7444.74,2347,False,0,1640052696
addb4a,AAL1274 ,United States,1640052696,1640052696,-96.1017,33.4981,5105.4,False,183.8,248.32,-8.45,,5181.6,3055,False,0,1640052696
a3db09,N348AC  ,United States,1640052502,1640052502,-97.308,32.5695,228.6,False,52.0,205.8,-6.5,,266.7,,False,0,1640052696
ad928e,AAL2246 ,United States,1640052660,1640052666,-97.0259,32.9328,198.12,False,77.68,179.62,-4.23,,259.08,2772,False,0,1640052696
a83ea0,CTL9    ,United States,1640052696,1640052696,-96.7369,33.0715,1463.04,False,82.87,1.78,0.0,,1493.52,5514,False,0,1640052696
aaf5a9,AAL566  ,United States,1640052695,1640052696,-95.4929,31.0013,12192.0,False,228.42,337.77,-0.33,,12496.8,5063,False,0,1640052696
aa0701,AAL485  ,United States,1640052695,1640052696,-97.2433,31.8557,7650.48,False,234.57,186.55,5.85,,7741.92,6261,False,0,1640052696
a9bf1f,N727SB  ,United States,1640052560,1640052695,-94.953,32.2588,7840.98,False,184.13,78.72,-11.05,,7879.08,5171,False,0,1640052696
aa9d50,SWA4471 ,United States,1640052696,1640052696,-99.3516,35.2584,11887.2,False,253.94,85.35,0.0,,12123.42,2627,False,0,1640052696
aa9d45,SKW5298 ,United States,1640052695,1640052695,-96.1486,30.9212,9182.1,False,253.24,151.35,-17.88,,9342.12,1255,False,0,1640052696
aa6835,N77RR   ,United States,1640052602,1640052651,-98.2191,30.8155,1463.04,False,81.13,12.45,-0.65,,1478.28,7361,False,0,1640052696
a5320b,ASA211  ,United States,1640052695,1640052695,-97.4704,33.3192,10363.2,False,227.77,316.28,0.0,,10538.46,6150,False,0,1640052696
ada336,AAL2104 ,United States,1640052584,1640052597,-97.0547,32.9263,175.26,False,77.17,180.76,-4.23,,236.22,2421,False,0,1640052696
a7d58f,N6036A  ,United States,1640052695,1640052695,-97.1094,32.659,480.06,False,56.92,347.47,0.65,,518.16,,False,0,1640052696
a40acb,N36JR   ,United States,1640052625,1640052632,-96.5895,33.1599,152.4,False,33.47,2.64,-1.95,,213.36,,False,0,1640052696
ab6380,AAL616  ,United States,1640052696,1640052696,-98.8947,33.212,10797.54,False,236.87,287.96,5.53,,11018.52,6211,False,0,1640052696
a28f12,ENY4363 ,United States,1640052695,1640052696,-97.6531,32.8705,5204.46,False,184.36,285.7,12.03,,5295.9,,False,0,1640052696
a8a785,JBU2798 ,United States,1640052695,1640052695,-95.4148,34.5701,10355.58,False,229.12,275.93,0.33,,10500.36,6732,False,0,1640052696
aa55ee,AAL2834 ,United States,1640052450,1640052469,-97.0259,32.9322,144.78,False,71.0,180.42,-4.23,,198.12,3302,False,0,1640052696
a927ca,N68954  ,United States,1640051071,1640052582,-97.8629,32.945,1005.84,False,42.5,83.05,-1.95,,1043.94,,False,0,1640052696
