icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time,time
aaf5a9,AAL566  ,United States,1640052695,1640052696,-95.4929,31.0013,12192.0,False,228.42,337.77,-0.33,,12496.8,5063.0,False,0,1640052696,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=11, tm_sec=35, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640052798,1640052798,-95.5865,31.1975,12192.0,False,229.29,337.58,0.0,,12489.18,5063.0,False,0,1640052798,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=13, tm_sec=18, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640052899,1640052899,-95.6848,31.3865,12192.0,False,226.48,328.66,0.0,,12489.18,5063.0,False,0,1640052899,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=14, tm_sec=59, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053008,1640053008,-95.8182,31.5737,11612.88,False,221.73,328.38,-12.03,,11894.82,5063.0,False,0,1640053008,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=16, tm_sec=48, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053110,1640053111,-95.9426,31.7472,10180.32,False,222.17,328.44,-15.28,,10370.82,5063.0,False,0,1640053111,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=18, tm_sec=30, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053209,1640053209,-96.0609,31.9109,8717.28,False,205.75,328.5,-16.26,,8869.68,5063.0,False,0,1640053209,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=20, tm_sec=9, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053311,1640053312,-96.1712,32.058,7543.8,False,181.11,322.15,-7.8,,7658.1,5063.0,False,0,1640053312,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=21, tm_sec=51, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053417,1640053417,-96.2993,32.1972,6720.84,False,184.32,321.91,-7.8,,6827.52,5063.0,False,0,1640053417,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=23, tm_sec=37, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053519,1640053519,-96.4218,32.3298,5935.98,False,179.89,321.85,-7.48,,6027.42,5063.0,False,0,1640053520,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=25, tm_sec=19, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053631,1640053631,-96.5476,32.4663,5143.5,False,163.34,321.65,-7.8,,5219.7,5063.0,False,0,1640053632,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=27, tm_sec=11, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053730,1640053730,-96.6619,32.5698,4465.32,False,158.27,316.19,-6.5,,4533.9,5063.0,False,0,1640053730,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=28, tm_sec=50, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053816,1640053816,-96.756,32.6533,3916.68,False,140.09,316.34,-6.18,,3977.64,5063.0,False,0,1640053816,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=30, tm_sec=16, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053944,1640053944,-96.8894,32.7708,3627.12,False,132.07,316.1,-1.95,,3688.08,5063.0,False,0,1640053944,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=32, tm_sec=24, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640053902,1640053902,-96.8459,32.7326,3718.56,False,144.08,316.16,-2.28,,3779.52,5063.0,False,0,1640053902,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=31, tm_sec=42, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640054078,1640054079,-97.0365,32.8587,3162.3,False,123.5,309.59,-9.43,,3223.26,5063.0,False,0,1640054079,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=34, tm_sec=38, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640054064,1640054065,-97.0219,32.8486,3261.36,False,123.57,309.26,-6.5,,3322.32,5063.0,False,0,1640054065,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=34, tm_sec=24, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640054278,1640054278,-97.1514,33.0374,1508.76,False,117.33,5.54,-9.1,,1554.48,2531.0,False,0,1640054278,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=37, tm_sec=58, tm_wday=0, tm_yday=354, tm_isdst=0)"
aaf5a9,AAL566  ,United States,1640054245,1640054245,-97.1558,33.0035,1851.66,False,115.89,6.12,-8.78,,1905.0,2531.0,False,0,1640054245,"time.struct_time(tm_year=2021, tm_mon=12, tm_mday=20, tm_hour=18, tm_min=37, tm_sec=25, tm_wday=0, tm_yday=354, tm_isdst=0)"
