id,Time,Transcriptions,Length,altitude,heading,speed,contact,clearance,callsign,callsign_matched
0BD65F98-25BE-4544-A6CC-5EBBA62B217F,1635810863,AMERICAN 919 HEADING 150 JOIN YOUR FINAL CLEARED VISUAL APPROACH RUNWAY 18R,75,NA,150,NA,False,True,AAL919,NA
9F07AD14-3778-4655-BBAE-F6ABECD6D175,1635865001,RIGHT 23000 ENVOY ,22,Possibly Missing KW,Missing ST,NA,False,False,NA,NA
C1CD9F24-83D8-464B-8ACC-6BAF0E74FFE5,1635865101,340 JOIN THE FINAL FOR 6206,27,NA,NA,NA,False,False,NA,NA
298DB293-6443-43A6-9F3F-7F6C8676985B,1635865140,TOWER 2415 ENVOY 3660,21,NA,NA,NA,True,False,ENY3660,NA
48EA7EF4-6A03-4D25-9D74-B86A2D44E9BB,1635865164,LEFT 220 JOIN FINAL FOR 6,25,NA,220,NA,False,False,NA,NA
85D7334A-8CBC-4CF1-A997-9D2A526312A5,1635865178,090 AMERICAN 356,16,NA,NA,NA,False,False,AAL356,NA
7D4DB8B8-0B98-4FEE-8CA7-CE31DCABE814,1635865238,170 OR BETTER TO PARKING AMERICAN 6,35,NA,NA,NA,False,False,AAL6,NA
FB01D396-36DC-4575-9E04-DB56E044F134,1635865261,AMERICAN 2195 OUT OF ,25,NA,NA,NA,False,False,AAL2195,NA
552D8E30-9995-4898-B9EB-DD19BB5DB2B9,1635865280,3000 TILL ESTABLISHED WERE CLEARED FOR THE RNAV 36 LEFT APPROACH AMERICAN 356,77,Possibly Missing KW,Missing ST,NA,False,True,AAL356,NA
0DB2249D-BC84-40CE-BD51-B9BD0645E32C,1635865297,TOWER AMERICAN 1360,19,NA,NA,NA,True,False,AAL1360,NA
E0CC8F5F-F0FC-41AA-8D19-A746E02949CB,1635865344,APPROACH AMERICAN  DESCENDING OUT OF 12 FOR 416 AMERICAN  APPROACH RUNWAY 36L,87,Missing ST,NA,NA,False,False,NA,NA
D36888BC-8B88-42DB-8CCD-6D8756B82E1E,1635865367,OVER TO TOWER AMERICAN 356 GOOD DAY,35,NA,NA,NA,True,False,AAL356,NA
25763475-311D-4697-98CC-EACCB3DACBCA,1635865399,DESCENDING 6000 AMERICAN 705,28,6000,NA,NA,False,False,AAL705,NA
F5F21486-7D6D-4673-B3AE-B7035DA4D1CE,1635865477, AMERICAN 195,20,NA,NA,NA,False,False,AAL195,NA
