2021-11-02 06:46:18.425 -07:00 | Error   | 00004641 | Stratus.swift:91 - UDPReceiver error, restarting: could not listen on port 41501: Error code: -9982(0x-26FE), Bad file descriptor
2021-11-02 06:46:18.425 -07:00 | Info    | 00004641 | UDPReceiver.swift:32 - attempting to start on 41501
2021-11-02 06:46:18.425 -07:00 | Error   | 00004640 | Stratus.swift:91 - UDPReceiver error, restarting: could not listen on port 41502: Error code: -9982(0x-26FE), Bad file descriptor
2021-11-02 06:46:18.425 -07:00 | Info    | 00004640 | UDPReceiver.swift:32 - attempting to start on 41502
2021-11-02 06:46:18.425 -07:00 | Error   | 0000463F | Stratus.swift:91 - UDPReceiver error, restarting: could not listen on port 41504: Error code: -9982(0x-26FE), Bad file descriptor
2021-11-02 06:46:18.425 -07:00 | Info    | 0000463F | UDPReceiver.swift:32 - attempting to start on 41504
2021-11-02 06:49:04.390 -07:00 | Debug   | 000046B4 | TranscriptionService.swift:302 - Transcription: OKAY, cabin: false
2021-11-02 06:49:08.607 -07:00 | Debug   | 000046B4 | TranscriptionService.swift:302 - Transcription: 646, cabin: true
2021-11-02 07:14:17.369 -07:00 | Debug   | 000046B4 | TranscriptionService.swift:302 - Transcription: YOU 2, cabin: true
2021-11-02 07:14:38.304 -07:00 | Debug   | 0001821F | AppDelegate.swift:62 - Started version 2.7.0 (69)
2021-11-02 07:14:38.315 -07:00 | Info    | 0001821F | SubscriptionValidator.swift:120 - Subscription date Optional(2021-11-02 04:12:59 +0000) in past
2021-11-02 07:14:38.315 -07:00 | Info    | 0001821F | SubscriptionValidator.swift:44 - Updating subscription state to lapsed
2021-11-02 07:14:38.328 -07:00 | Debug   | 0001821F | AppDelegate.swift:63 - Device supports transcriptions:yes
2021-11-02 07:14:38.328 -07:00 | Debug   | 0001821F | AppDelegate.swift:65 - Transcription subscription purchased:no
2021-11-02 07:14:38.328 -07:00 | Debug   | 0001821F | AppDelegate.swift:67 - Vendor ID: 90801ED7-86DF-44F0-95D3-101E0D88C07C
2021-11-02 07:14:38.345 -07:00 | Info    | 00018232 | UDPReceiver.swift:32 - attempting to start on 41502
2021-11-02 07:14:38.345 -07:00 | Info    | 00018233 | UDPReceiver.swift:32 - attempting to start on 41501
2021-11-02 07:14:38.345 -07:00 | Info    | 00018231 | UDPReceiver.swift:32 - attempting to start on 41504
2021-11-02 07:14:38.347 -07:00 | Info    | 0001821F | FirmwareInfo.swift:51 - firmware found: model - Stratus 2s, version - 2.0.0.266
2021-11-02 07:14:38.347 -07:00 | Info    | 0001821F | FirmwareInfo.swift:51 - firmware found: model - Stratus 3i, version - 1.2.2.35
2021-11-02 07:14:38.347 -07:00 | Info    | 0001821F | FirmwareInfo.swift:51 - firmware found: model - Stratus 2i, version - 2.0.0.402
2021-11-02 07:14:38.348 -07:00 | Info    | 0001821F | FirmwareInfo.swift:51 - firmware found: model - Stratus 2, version - 2.1.0.504
2021-11-02 07:14:38.348 -07:00 | Info    | 0001821F | FirmwareInfo.swift:51 - firmware found: model - Stratus 3, version - 1.5.8.203
2021-11-02 07:14:38.348 -07:00 | Info    | 0001821F | FirmwareInfo.swift:51 - firmware found: model - Stratus 1s, version - 2.0.0.266
2021-11-02 07:14:38.351 -07:00 | Info    | 0001821F | IAPService.swift:79 - Attempting to cache IAP products
2021-11-02 07:14:38.359 -07:00 | Info    | 00018227 | TranscriptionService.swift:228 - Initializing VAD
2021-11-02 07:14:38.387 -07:00 | Info    | 0001821F | NetworkConnectionService.swift:38 - connected to internet via WiFi
2021-11-02 07:14:38.485 -07:00 | Info    | 00018227 | TranscriptionService.swift:194 - Transcription pipeline initialized
2021-11-02 07:14:38.655 -07:00 | Info    | 00018224 | IAPService.swift:129 - Caching successfully retrieved products
2021-11-02 07:14:40.059 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/8D91AEBD-33C5-494C-86B7-48C3D7CBBCE4.wav
2021-11-02 07:14:40.228 -07:00 | Info    | 00018224 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/8D91AEBD-33C5-494C-86B7-48C3D7CBBCE4.json
2021-11-02 07:14:40.986 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/0EE8AA30-CFA8-4D69-AC81-AFD8BC37C6BB.wav
2021-11-02 07:14:41.148 -07:00 | Info    | 0001822B | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/0EE8AA30-CFA8-4D69-AC81-AFD8BC37C6BB.json
2021-11-02 07:14:41.489 -07:00 | Info    | 00018225 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/6224B62C-05C8-4394-B66F-4C5F392126C9.wav
2021-11-02 07:14:41.646 -07:00 | Info    | 00018227 | AWSClient.swift:56 - Uploaded: https://s3.amazonaws.com/appareo-knox-live/90801ED7-86DF-44F0-95D3-101E0D88C07C/data/6224B62C-05C8-4394-B66F-4C5F392126C9.json
2021-11-02 07:14:41.917 -07:00 | Debug   | 0001823D | TranscriptionService.swift:302 - Transcription: , cabin: true
